"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140527","GO:0140527",NA,"19/4251","58/18722",0.0512840150057063,0.143170728140096,0.0974195680079353,"RAD51D/TRIP13/TOP2A/BRIP1/PSMC3IP/RAD54B/RAD51C/CENPX/RAD51AP1/RMI1/RAD54L/EME1/RAD51/FANCD2/MND1/KLHDC3/RNF212/DMC1/REC8",19
"GO:2000736","GO:2000736","regulation of stem cell differentiation","19/4251","58/18722",0.0512840150057063,0.143170728140096,0.0974195680079353,"JAG1/REST/RBM24/YAP1/PDGFRA/ITCH/TACSTD2/NFE2L2/SOX9/SOX5/HNRNPU/STAT3/TGFB2/OCIAD1/ZFP36L2/HES1/NUDT21/N4BP2L2/PTN",19
"GO:0002026","GO:0002026","regulation of the force of heart contraction","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"PLN/ATP1A2/CHGA/CAV1/ATP2B4/GAA/ADM/CAMK2D/ADRB1/NOS1",10
"GO:0032682","GO:0032682","negative regulation of chemokine production","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"KLF4/F2RL1/APOD/ELANE/SIGIRR/OAS3/ARG2/EPHA2/SOCS5/MEFV",10
"GO:0042537","GO:0042537","benzene-containing compound metabolic process","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"EPHX2/GSTM3/FAH/CYP4B1/PON3/TDO2/GSTM1/CYP2E1/GSTM2/IDO1",10
"GO:0045745","GO:0045745","positive regulation of G protein-coupled receptor signaling pathway","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"CNTN2/KLK5/CHGA/PRKCA/MRAP2/GPER1/C3/TMOD2/GPR27/KLK6",10
"GO:0070977","GO:0070977","bone maturation","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"IGF1/ZBTB16/SEMA4D/RHOA/BMP2/FGFR3/SNX10/LEP/GREM1/GH1",10
"GO:0071880","GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"PLN/AKAP13/CHGA/ADRB2/ADRA2A/ARRDC3/ATP2B4/RAPGEF2/PDE4B/ADRB1",10
"GO:0097205","GO:0097205","renal filtration","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"F2RL1/EMP2/GJA1/GAS6/CD34/TMEM63C/RHPN2/ADORA1/SULF1/F2R",10
"GO:1904376","GO:1904376","negative regulation of protein localization to cell periphery","10/4251","26/18722",0.0517328927669717,0.143911501697212,0.0979236224390572,"PICALM/DAB2/PID1/PPP2R5A/LYPLA1/MRAP2/SAPCD2/RHOQ/HECTD1/LRRC15",10
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","43/4251","150/18722",0.0520231158226632,0.144654701044134,0.0984293274826891,"PAFAH1B1/PTPN11/F2RL1/CXCR4/YTHDF3/GFI1/IL1R2/ARG1/SLIT3/CAV1/RIPK1/ADIPOQ/EDN1/IL36RN/SPPL2A/IL1R1/RIPK2/SPPL2B/IL1RN/AXL/HIPK1/IL7/GAS6/NOL3/HSP90AB1/SLIT2/CASP1/PYCARD/VRK2/CASP4/CCDC3/SIGIRR/OAS3/MMP12/PPARG/PIAS4/ECM1/CD74/ISG15/PXDN/SAMHD1/C1QTNF4/CCL5",43
"GO:0051937","GO:0051937","catecholamine transport","23/4251","73/18722",0.0523710416492815,0.145297481752923,0.0988667033330986,"SYT13/SYT7/STX1A/SYT1/SYT4/CHGA/SNCA/CXCL12/SYT8/ADRA2A/SLC22A3/P2RY1/CNR1/PINK1/OXTR/GRM2/KCNB1/SYT11/SLC6A3/RAB3B/SYT9/ACTB/VIP",23
"GO:0032892","GO:0032892","positive regulation of organic acid transport","14/4251","40/18722",0.0523763403455179,0.145297481752923,0.0988667033330986,"PSEN1/PLA2R1/PLA2G4A/PTGES/ACSL1/SLC12A2/EDN1/RAB3GAP1/STXBP1/PLA2G3/CCK/ERFE/ITGB1/AVPR1A",14
"GO:0045022","GO:0045022","early endosome to late endosome transport","14/4251","40/18722",0.0523763403455179,0.145297481752923,0.0988667033330986,"RAB5A/MAPK1/KIF16B/AKTIP/DAB2/EMP2/DNAJC13/EEA1/HOOK3/RAB7A/HOOK1/RDX/MTMR2/EZR",14
"GO:0051281","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","14/4251","40/18722",0.0523763403455179,0.145297481752923,0.0988667033330986,"CAPN3/SNCA/CALM3/GPER1/SRI/CXCL9/GSTM2/F2R/BAX/XCL1/CXCL10/CALM1/PDPK1/CXCL11",14
"GO:0031349","GO:0031349","positive regulation of defense response","75/4251","278/18722",0.0524350623919577,0.145297481752923,0.0988667033330986,"IL6ST/AGTR1/EGFR/IL18/MDK/F2RL1/RIOK3/ITGA2/TLR3/MAP3K7/KLK7/ARG1/CEBPA/EREG/KLK5/IL33/PTGER3/NUPR1/JAK2/RIPK1/SNCA/GJA1/OSMR/MGST2/RIPK2/NFKBIZ/HEXIM1/HMGB2/CDK19/CEBPB/PYCARD/VAMP8/CNR1/NPAS2/PLA2G3/NOD2/MMP12/RAET1E/IL17RA/MAPK13/PLA2G2A/ALOX5AP/TNFRSF1A/CD47/C3/GRN/OPTN/FABP4/SERPINE1/CCK/IL16/TLR4/IFI16/LAMP1/LAG3/APP/HLA-E/GPR4/CTSC/NFKBIA/MEF2C/PTGER4/PAK1/MNDA/SUCNR1/GBP5/PSPC1/LDLR/DHX9/FEM1A/CADM1/TAC1/PENK/CCL5/S100A8",75
"GO:0002697","GO:0002697","regulation of immune effector process","90/4251","339/18722",0.0524671932500783,0.145297481752923,0.0988667033330986,"CD46/GATA3/IL20RB/CD1A/IL18/F2RL1/TLR3/MAP3K7/KLK7/ARG1/CD55/KLK5/SPINK5/INAVA/FER/CD59/AZGP1/THOC1/CD1E/MR1/CFH/LGALS3/TRPM4/LOXL3/APPL2/BCL6/AHR/CD1C/RAP1A/SPHK2/FCGR2B/IL1R1/RIPK2/STXBP1/NFKBIZ/STX4/MALT1/MICA/RIPK3/NSD2/CX3CR1/ANXA1/VAMP8/STAT6/SUSD4/PLA2G3/FOXJ1/NOD2/FGL2/C12orf4/RAET1E/MYB/TGFB2/MAD2L2/SERPING1/ITGAM/DDX60/CD47/RBP4/CD36/VSIG4/SOCS5/XBP1/C3/CRK/GRN/GATA2/CD74/HLA-DRA/PAXIP1/TLR4/LAMP1/LAG3/APPL1/HLA-E/EPHB2/PKN1/LEP/CEACAM1/ARRB2/RIF1/RC3H1/FCRL3/NDFIP1/XCL1/SLC7A5/PCK1/PDPK1/CADM1/CCL19",90
"GO:0046916","GO:0046916","cellular transition metal ion homeostasis","34/4251","115/18722",0.0525900766728303,0.145297481752923,0.0988667033330986,"SCARA5/PRNP/CP/CYBRD1/AP3D1/SLC39A6/SLC11A2/ATP7A/ATP6V1A/SLC22A17/SLC31A2/BOLA2/SLC30A1/MT1X/STEAP4/ATP13A2/STEAP2/SLC39A8/SRI/HEPH/TF/MT1M/SLC6A9/TFR2/MYC/FLVCR1/ERFE/APP/MT1E/ATP7B/SLC30A5/NDFIP1/LCN2/S100A8",34
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","46/4251","162/18722",0.0529478412463316,0.145297481752923,0.0988667033330986,"PAFAH1B1/KLF4/PTPN11/F2RL1/CXCR4/YTHDF3/GFI1/IL1R2/ARG1/SLIT3/CAV1/RIPK1/ADIPOQ/EDN1/IL36RN/SPPL2A/IL1R1/RIPK2/SPPL2B/IL1RN/AXL/HIPK1/IL7/GAS6/NOL3/HSP90AB1/SLIT2/CASP1/PYCARD/VRK2/CASP4/CCDC3/SIGIRR/OAS3/MMP12/PPARG/PIAS4/ECM1/CD74/TLR4/ISG15/DHX9/PXDN/SAMHD1/C1QTNF4/CCL5",46
"GO:0031058","GO:0031058","positive regulation of histone modification","28/4251","92/18722",0.0529502893082089,0.145297481752923,0.0988667033330986,"ISL1/GATA3/SDR16C5/ARRB1/PPARGC1A/CCNB1/JDP2/BCL6/SPHK2/BRCA1/PINK1/DNMT3B/NSD3/LMNA/MYB/NAP1L2/WDR61/DNMT1/KDM1A/PAXBP1/PAXIP1/SMARCB1/PHF19/TET1/RIF1/OGT/VEGFA/NOS1",28
"GO:0006654","GO:0006654","phosphatidic acid biosynthetic process","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"LPCAT1/DGKD/GPAT3/ABHD5/DGKA/LIPH/DGKZ/PLD1/DGKE/AGPAT3/PNPLA3/GPAM",12
"GO:0050901","GO:0050901","leukocyte tethering or rolling","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"JAM2/ADD2/CXCL12/CCL21/ELANE/PODXL2/CX3CR1/ITGB1/FUT9/FUT4/LEP/SELL",12
"GO:0071763","GO:0071763","nuclear membrane organization","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"PAFAH1B1/TMEM43/TOR1AIP1/PRKCA/REEP3/NEMP1/GPER1/NDEL1/PLK1/VRK1/NSFL1C/NEK6",12
"GO:0099174","GO:0099174","regulation of presynapse organization","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"SNCA/IL1RAP/ARF6/SLITRK6/SLITRK1/PTPRD/NTNG2/GPC6/NTRK3/APP/VPS35/CBLN1",12
"GO:1900181","GO:1900181","negative regulation of protein localization to nucleus","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"CTNNA1/UFM1/CHP1/APOD/TRIM29/FERMT1/DCLK2/DCLK1/MDFIC/LATS2/CD36/RAB23",12
"GO:1902992","GO:1902992","negative regulation of amyloid precursor protein catabolic process","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"PRNP/NTRK2/PICALM/CLU/IGF1/RTN4/FLOT2/ABCA7/SPON1/RTN2/APOE/RTN1",12
"GO:1903715","GO:1903715","regulation of aerobic respiration","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"IDE/NUPR1/ATP7A/SNCA/CBFA2T3/PINK1/SLC25A33/RHOA/SHMT2/AK4/COX7A1/DNAJC15",12
"GO:1905606","GO:1905606","regulation of presynapse assembly","12/4251","33/18722",0.0530073019528119,0.145297481752923,0.0988667033330986,"SNCA/IL1RAP/ARF6/SLITRK6/SLITRK1/PTPRD/NTNG2/GPC6/NTRK3/APP/VPS35/CBLN1",12
"GO:0005513","GO:0005513","detection of calcium ion","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"SYT1/KCNMB2/CALM3/KCNMB1/CASQ2/CALM1",6
"GO:0010745","GO:0010745","negative regulation of macrophage derived foam cell differentiation","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"ADIPOQ/ITGAV/PPARG/PPARA/NFKBIA/ABCA1",6
"GO:0010917","GO:0010917","negative regulation of mitochondrial membrane potential","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"ARL6IP5/HEBP2/BNIP3L/MAPT/BAX/SLC25A27",6
"GO:0014029","GO:0014029","neural crest formation","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"TCOF1/SOX9/FUZ/SFRP1/KBTBD8/LRP6",6
"GO:0021681","GO:0021681","cerebellar granular layer development","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"MDK/KIF14/OPHN1/PROX1/CBLN1/FAIM2",6
"GO:0021819","GO:0021819","layer formation in cerebral cortex","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"PAFAH1B1/LRP8/CDK5R1/GLI3/CDK5R2/RELN",6
"GO:0021859","GO:0021859","pyramidal neuron differentiation","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"FGFR2/SCYL2/ATP7A/DCLK2/UNC5D/FOXG1",6
"GO:0033262","GO:0033262","regulation of nuclear cell cycle DNA replication","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"CDC7/BCL6/DACH1/TIPIN/DBF4/CDT1",6
"GO:0043970","GO:0043970","histone H3-K9 acetylation","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"GATA3/SPHK2/BRCA1/NAP1L2/CHEK1/SMARCB1",6
"GO:0044090","GO:0044090","positive regulation of vacuole organization","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"RALB/ANXA2/RAB3GAP1/PIP4K2A/SH3GLB1/GRN",6
"GO:0046512","GO:0046512","sphingosine biosynthetic process","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"ACER1/SPTLC1/SPTLC3/ASAH1/SPHK2/ASAH2B",6
"GO:0046520","GO:0046520","sphingoid biosynthetic process","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"ACER1/SPTLC1/SPTLC3/ASAH1/SPHK2/ASAH2B",6
"GO:0070486","GO:0070486","leukocyte aggregation","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"JAM2/CD44/SEMA4D/HAS2/ZAP70/S100A8",6
"GO:0072578","GO:0072578","neurotransmitter-gated ion channel clustering","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"LHFPL4/DLG4/RELN/SSH1/ZDHHC2/APOE",6
"GO:0072672","GO:0072672","neutrophil extravasation","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"XG/MDK/PECAM1/CD99/IL1R1/RIPOR2",6
"GO:0106070","GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"APLP1/PRKCA/MRAP2/ARRDC3/ATP2B4/PDE4B",6
"GO:1900452","GO:1900452","regulation of long-term synaptic depression","6/4251","13/18722",0.0530529128484704,0.145297481752923,0.0988667033330986,"KCNB1/ADORA1/ARC/CBLN1/MAPT/PPP1R9A",6
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","47/4251","166/18722",0.0531916929966331,0.145297481752923,0.0988667033330986,"ELAVL4/TRAF3IP2/MAPK14/YTHDF3/TENT5B/ROCK2/RBM10/YBX3/MYEF2/RBM24/E2F1/TNRC6B/AXIN2/SAMD4A/CARHSP1/PKP1/EXOSC7/PRKCA/ZFP36L1/SERBP1/PKP3/PAN2/TENT4A/HNRNPU/PRKCD/ELAVL1/EXOSC2/TOB1/TUT7/CNOT6L/VIM/RNASEL/KHSRP/ZFP36L2/EXOSC9/PRR5L/PCBP4/LARP4B/CSDC2/MEIOC/CNOT8/AGO2/RC3H1/HNRNPA0/CNOT3/DHX9/VIP",47
"GO:0043487","GO:0043487","regulation of RNA stability","48/4251","170/18722",0.0534063759256291,0.145297481752923,0.0988667033330986,"ELAVL4/TRAF3IP2/MAPK14/YTHDF3/TENT5B/ROCK2/RBM10/YBX3/MYEF2/RBM24/E2F1/TNRC6B/AXIN2/SAMD4A/CARHSP1/EXOSC7/PRKCA/ZFP36L1/SERBP1/PAN2/LIN28B/TENT4A/HNRNPU/TENT2/PRKCD/ELAVL1/EXOSC2/TOB1/TUT7/CNOT6L/VIM/RNASEL/KHSRP/ZFP36L2/EXOSC9/PCBP4/ZC3H18/PHAX/LARP4B/CSDC2/MEIOC/CNOT8/AGO2/RC3H1/HNRNPA0/CNOT3/DHX9/VIP",48
"GO:0071216","GO:0071216","cellular response to biotic stimulus","67/4251","246/18722",0.0536494682577472,0.145297481752923,0.0988667033330986,"IL37/CTSG/MAPK1/TXNIP/IL18/MAPK14/PLSCR4/ADAM9/GFI1/SGMS1/ARG1/CD55/IGFBPL1/PPARGC1A/SASH1/BCL2L11/NFKB1/TFPI/PRKCA/WFS1/IL36RN/FCGR2B/RIPK2/AXL/MALT1/EME1/HMGB2/CDK19/APAF1/CASP1/CX3CR1/CEBPB/PYCARD/ASS1/SIGIRR/NOD2/FBH1/EDNRB/RHOA/IL1F10/VIM/CD36/LITAF/XBP1/SERPINE1/CAPN2/PABPN1/MRC1/CXCL9/TLR4/TSPO/CXCL8/BID/NFKBIA/MTDH/MEF2C/CXCL2/CMPK2/ABCA1/PDE4B/CXCL13/CXCL10/CD14/IL36G/LCN2/CXCL11/CCL5",67
"GO:0019933","GO:0019933","cAMP-mediated signaling","20/4251","62/18722",0.0538415479458637,0.145297481752923,0.0988667033330986,"ADCY1/RIMS2/RNF157/RASD2/PCLO/GNAI1/SOX9/AHR/PEX5L/ADGRG6/CDC34/PDE7A/ADCYAP1/DEFB1/GAL/KSR1/RAPGEF4/ADM/ADCY2/RAPGEF2",20
"GO:0046148","GO:0046148","pigment biosynthetic process","20/4251","62/18722",0.0538415479458637,0.145297481752923,0.0988667033330986,"DCT/TYRP1/SLC11A2/ALAD/ATP7A/TYR/PMEL/PPAT/PGRMC1/GART/SLC6A9/SHMT2/COX15/FLVCR1/ATP5IF1/TSPO/APPL1/ZEB2/RAPGEF2/CDH3",20
"GO:0070265","GO:0070265","necrotic cell death","20/4251","62/18722",0.0538415479458637,0.145297481752923,0.0988667033330986,"TLR3/YBX3/CFLAR/ASAH1/NUPR1/CAV1/RIPK1/FAS/PELI1/NOL3/RIPK3/CASP1/PYGL/HEBP2/TSPO/TMEM123/BOK/GSDME/OGT/BAX",20
"GO:0002002","GO:0002002","regulation of angiotensin levels in blood","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"CPA3/CTSG/CMA1/ATP6AP2/ENPEP",5
"GO:0002003","GO:0002003","angiotensin maturation","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"CPA3/CTSG/CMA1/ATP6AP2/ENPEP",5
"GO:0002524","GO:0002524","hypersensitivity","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"GATA3/IL20RB/FCGR2B/C3/HLA-E",5
"GO:0003056","GO:0003056","regulation of vascular smooth muscle contraction","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"P2RX1/ATP2B1/RHOA/DOCK5/CHRM3",5
"GO:0003129","GO:0003129","heart induction","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"MESP1/WNT11/BMP4/BMP2/ROBO2",5
"GO:0009133","GO:0009133","nucleoside diphosphate biosynthetic process","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"DTYMK/CMPK1/AK3/CMPK2/AK4",5
"GO:0019614","GO:0019614","catechol-containing compound catabolic process","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"MAOA/COMT/MAOB/MOXD1/SLC6A3",5
"GO:0021562","GO:0021562","vestibulocochlear nerve development","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"POU4F3/NRP1/SLITRK6/PAX2/ATP8B1",5
"GO:0030638","GO:0030638","polyketide metabolic process","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"AKR1C2/AKR1C3/AKR1C1/AKR1B1/AKR1B10",5
"GO:0030647","GO:0030647","aminoglycoside antibiotic metabolic process","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"AKR1C2/AKR1C3/AKR1C1/AKR1B1/AKR1B10",5
"GO:0031915","GO:0031915","positive regulation of synaptic plasticity","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"CDC20/NEUROD2/CPLX2/EPHB2/SSH1",5
"GO:0031943","GO:0031943","regulation of glucocorticoid metabolic process","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"REST/DKK3/BMP2/H6PD/GAL",5
"GO:0035871","GO:0035871","protein K11-linked deubiquitination","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"OTUD3/YOD1/OTUD7A/USP37/OTUB2",5
"GO:0042424","GO:0042424","catecholamine catabolic process","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"MAOA/COMT/MAOB/MOXD1/SLC6A3",5
"GO:0044351","GO:0044351","macropinocytosis","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"MAPKAPK3/APPL2/CARMIL1/PYCARD/APPL1",5
"GO:0044598","GO:0044598","doxorubicin metabolic process","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"AKR1C2/AKR1C3/AKR1C1/AKR1B1/AKR1B10",5
"GO:0045835","GO:0045835","negative regulation of meiotic nuclear division","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"TRIP13/FBXO5/FBXO43/PRKAR1A/RPS6KA2",5
"GO:0048262","GO:0048262","determination of dorsal/ventral asymmetry","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"SOSTDC1/ACVR1/AIDA/NBL1/GREM1",5
"GO:0048671","GO:0048671","negative regulation of collateral sprouting","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"SPART/RGMA/SPP1/EPHA7/DCC",5
"GO:0051660","GO:0051660","establishment of centrosome localization","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"PAFAH1B1/DLG1/PARD3B/MAD2L1/EZR",5
"GO:0060068","GO:0060068","vagina development","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"AXL/ESR1/MERTK/RBP4/BAX",5
"GO:0060272","GO:0060272","embryonic skeletal joint morphogenesis","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"OSR2/OSR1/SHOX2/HYAL1/BMP4",5
"GO:0060947","GO:0060947","cardiac vascular smooth muscle cell differentiation","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"MESP1/MYOCD/GPER1/HEY2/VEGFA",5
"GO:0061179","GO:0061179","negative regulation of insulin secretion involved in cellular response to glucose stimulus","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"UCP2/HMGCR/ADRA2A/FKBP1B/KLF7",5
"GO:0061299","GO:0061299","retina vasculature morphogenesis in camera-type eye","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"CLIC4/RHOJ/CYP1B1/NRP1/COL4A1",5
"GO:0070391","GO:0070391","response to lipoteichoic acid","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"MAPK14/RIPK2/CD36/TLR4/CD14",5
"GO:0071223","GO:0071223","cellular response to lipoteichoic acid","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"MAPK14/RIPK2/CD36/TLR4/CD14",5
"GO:0072070","GO:0072070","loop of Henle development","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"JAG1/IRX3/IRX1/IRX2/POU3F3",5
"GO:0072124","GO:0072124","regulation of glomerular mesangial cell proliferation","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"SERPINB7/CFLAR/BMP4/PDGFD/EGR1",5
"GO:0072203","GO:0072203","cell proliferation involved in metanephros development","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"OSR1/STAT1/EGR1/MYC/PDGFRB",5
"GO:0090179","GO:0090179","planar cell polarity pathway involved in neural tube closure","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"GRHL3/PTK7/SFRP1/NPHP3/SFRP2",5
"GO:0090647","GO:0090647","modulation of age-related behavioral decline","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"PRNP/PSEN1/PICALM/APP/GRM5",5
"GO:0097278","GO:0097278","complement-dependent cytotoxicity","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"CD55/CD59/CFH/HSP90AB1/C3",5
"GO:0140059","GO:0140059","dendrite arborization","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"SULT4A1/NRP1/TPBG/TAOK2/PTN",5
"GO:1901725","GO:1901725","regulation of histone deacetylase activity","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"SPHK2/PINK1/CAMK2D/KDM5A/VEGFA",5
"GO:1901993","GO:1901993","regulation of meiotic cell cycle phase transition","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"CDC25A/CDC25B/CDC25C/TTK/OVOL1",5
"GO:1902237","GO:1902237","positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"NCK1/SERINC3/BCL2L11/RNF183/BOK",5
"GO:1903867","GO:1903867","extraembryonic membrane development","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"E2F7/TMED2/PAXIP1/E2F8/DNAJB6",5
"GO:2000048","GO:2000048","negative regulation of cell-cell adhesion mediated by cadherin","5/4251","10/18722",0.0541093464297288,0.145297481752923,0.0988667033330986,"NEXMIF/MAD2L2/EPCAM/RGCC/VEGFA",5
"GO:0015914","GO:0015914","phospholipid transport","29/4251","96/18722",0.0541304343785398,0.145297481752923,0.0988667033330986,"TMEM30A/ABCA12/PLSCR4/PITPNM3/ATP8A1/GLTP/ATP10D/DBI/ANO6/SCARB2/ATP8B2/P2RX7/ATP8A2/SCP2/ABCA3/NPC2/PRKCD/ABCA7/PITPNA/PLTP/ATP10B/PRELID2/ATP8B1/TMEM30B/PCTP/ANO3/APOE/ABCA1/LDLR",29
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","29/4251","96/18722",0.0541304343785398,0.145297481752923,0.0988667033330986,"ME1/MTHFD2/GLUD2/SUCLG2/GLUL/HAL/GLS/ASPA/DHFR/IDH1/ME3/GLUD1/OGDHL/ASS1/PHYH/SLC19A1/OAT/FH/GPT2/GCLC/SHMT2/MDH1B/FOLR1/IDH2/DLD/GCLM/SUCLA2/GAD1/PCK1",29
"GO:0014009","GO:0014009","glial cell proliferation","17/4251","51/18722",0.0541548725513352,0.145300904839404,0.0988690325494864,"EGFR/CREB1/CLU/E2F1/SOX11/SOX10/ASCL2/ADCYAP1/MYB/DICER1/SOX4/HES1/IDH2/TSPO/UFL1/PTN/PENK",17
"GO:0006612","GO:0006612","protein targeting to membrane","38/4251","131/18722",0.0551655137327539,0.147947528304851,0.100669909851942,"PRNP/SEC61A1/TRAM1/SRPRA/ZDHHC3/CHP1/ERBB2/CDK5R1/RAB3IP/CACNB3/GOLGA7/RAB8B/ZDHHC20/C2CD5/ZDHHC9/HPCA/SSR1/AQP11/STOM/PEX3/CHM/ANK3/SEC61A2/ZDHHC23/ZDHHC14/TAOK2/ITGAM/MICALL1/SDCBP/KCNB1/NACA/GDI1/ADORA1/MTCL1/SRP72/PAK1/ZDHHC2/PDZK1",38
